"parameter","median","mean","sd","hpdi_lower","hpdi_upper"
"alpha",-0.7921,-0.79,0.1393,-1.0584,-0.5157
"r",0.0018,0.0018,1e-04,0.0017,0.0019
"beta",0.1079,0.1078,0.0338,0.0427,0.1749
