Site_name or object code,C14Age,C14SD,Lab_code,Lon,Lat,Location quality,Material_Dated,APA_reference,Ref_complete,Archaeological_context,Technology
LCR-H-1X,390,30,Beta-365006,,,,Bone (H. sapiens),"Gutierrez Olano, J., Sandoval Andrade, J., & Beltran Rincon, G., (2016). Programa de rescate y acompanamiento preventivo del area de locacion y via de acceso para el emplazamiento del pozo de desarrollo LCR-H-1X: informe final, municipio de San Pedro (Sucre). Pacific Rubiales-EIATEC",yes,,
LCR-H-1X,520,30,Beta-366958,,,,Bone (H. sapiens),"Gutierrez Olano, J., Sandoval Andrade, J., & Beltran Rincon, G., (2016). Programa de rescate y acompanamiento preventivo del area de locacion y via de acceso para el emplazamiento del pozo de desarrollo LCR-H-1X: informe final, municipio de San Pedro (Sucre). Pacific Rubiales-EIATEC",yes,,
LI 46,1410,60,Beta-157723,-75.79,6.7,Reported,,"Herrera Gomez, D., Cardona, C. V., & Espinoza, I. E. (2001). Investigacion sobre las dinamicas territoriales y los procesos de poblamiento en el occidente medio antioqueno: poblamiento antiguo hitos culturales y construccion del territorio Vol. 2.  CORANTIOQUIA Medellin.",yes,,
Limoncillos,10340,40,Beta-509124,,,,,"Aceituno Bocanegra, F. J., Robinson, M., Morcote-Rios, G., Aguirre, A., Osborn, J., & Iriarte, J. (2024). The peopling of Amazonia: Chrono-stratigraphic evidence from Serrania La Lindosa, Colombian Amazon. Quaternary Science Reviews, 327, 108088. https://doi.org/10.1016/j.quascirev.2024.108522",yes,,
Limoncito 2,1170,120,Beta-22839,-74.96,8.6,Reported,,"Plazas, C., Falchetti, A., Saenz, J., & Archila, S. (1993). La sociedad hidraulica Zenu. Estudio arqueologico de 2000 anos de historia en las llanuras del Caribe colombiano.  Banco de la Republica.",yes,,
Linea electrica Sabanalarga,1320,40,Beta-117183,,,,,"Rodriguez, C. (1999). Linea de transmision Sabanalarga Fundacion: programa de rescate arqueologico monitoreo. Consultoria Socioambiental.",yes,,
Linea electrica Sabanalarga,1000,50,Beta-117185,,,,,"Rodriguez, C. (1999). Linea de transmision Sabanalarga Fundacion: programa de rescate arqueologico monitoreo. Consultoria Socioambiental.",yes,,
Linea electrica Sabanalarga,1160,40,Beta-117188,,,,,"Rodriguez, C. (1999). Linea de transmision Sabanalarga Fundacion: programa de rescate arqueologico monitoreo. Consultoria Socioambiental.",yes,,
Linea electrica Sabanalarga,860,40,Beta-117187,,,,,"Rodriguez, C. (1999). Linea de transmision Sabanalarga Fundacion: programa de rescate arqueologico monitoreo. Consultoria Socioambiental.",yes,,
Linea electrica Sabanalarga,750,40,Beta-117186,,,,,"Rodriguez, C. (1999). Linea de transmision Sabanalarga Fundacion: programa de rescate arqueologico monitoreo. Consultoria Socioambiental.",yes,,
