Site_name or object code,C14Age,C14SD,Lab_code,Lon,Lat,Location quality,Material_Dated,APA_reference,Ref_complete,Archaeological_context,Technology
5,1920,70,Beta-128516,-74.73,6.99,Reported,,SAG. (1999). Estudio de impacto ambiental Troncal Nordeste fase III,yes,,
7,720,80,Beta-128514,-74.71,7.06,Reported,,SAG. (1999). Estudio de impacto ambiental Troncal Nordeste fase III,yes,,
13,1060,70,Beta-128515,-74.95,6.59,Reported,,SAG. (1999). Estudio de impacto ambiental Troncal Nordeste fase III,yes,,
05MAC-CC2 (Caverna del Tigre),3480,70,Beta-16821,-74.63,6.55,Reported,,"Pino, J. I., & Forero, J. C. (2002). Ocupacion humana y entorno natural en las cavernas del rio Alicante Maceo-Puerto Berrio (Antioquia). CORANTIOQUIA.",yes,,
05YON-BAR6,650,50,Beta-207077,-74.3,6.73,Reported,,"Pino Salazar, J. (2006). Caracterizacion patrimonial del sistema de humedales cienagas El Totumo, Barbacoas y Chiqueros municipio de Yondo y Puerto Berrio Antioquia: informe final. Corporacion Autonoma Regional del Centro de Antioquia.",yes,,
05YON-BAR7,6650,130,Beta-207080,-74.29,6.73,Reported,,"Pino Salazar, J. (2006). Caracterizacion patrimonial del sistema de humedales cienagas El Totumo, Barbacoas y Chiqueros municipio de Yondo y Puerto Berrio Antioquia: informe final. Corporacion Autonoma Regional del Centro de Antioquia.",yes,,
05YON-TO7,930,70,Beta-207078,-74.02,7.13,Reported,,"Pino Salazar, J. (2006). Caracterizacion patrimonial del sistema de humedales cienagas El Totumo, Barbacoas y Chiqueros municipio de Yondo y Puerto Berrio Antioquia: informe final. Corporacion Autonoma Regional del Centro de Antioquia.",yes,,
12 PIII0I-52,10260,50,Beta 205293,,,,Charcoal,"Otero de Santos, H., & Santos, G. (2006). Las ocupaciones prehispanicas del canon del rio Porce: prospeccion , rescate y monitoreo arqueologico. Proyecto hidroelectrico Porce III obras de infraestructura. Informe final. 3 volumenes EPM.",yes,,
21 - La Quinta,1400,60,Beta-142830,-75.67,6.24,Reported,Charcoal,"Langebaek Rueda, C., & Espinosa, I. (1999). Reconocimiento arqueologico en el Cerro del Padre Amaya: informe final.  CORANTIOQUIA.",yes,,
66PER001,9730,100,Beta-121972,-75.694147,5.534098,Reported,Charcoal,"Cano Echeverri, M. (2001). Arqueologia de las cuencas de los rios Otun y Consota, Risaralda. Fundacion de Investigaciones Arqueologicas. Banco de la Republica.",yes,,
66PER007,3350,70,Beta-14528,-75.69,4.79,Reported,,"Cano Echeverri, M. C. (2004). Los primeros habitantes de las cuencas medias de los rios Otun y Consota. En C. E. Lopez & M. C. Cano (Comps.), Cambios ambientales en perspectiva historica: ecoregion del eje cafetero (pp. 68-91).  Universidad Tecnologica de Pereira. https://media.utp.edu.co/centro-gestion-ambiental/archivos/cambios-ambientales-en-perspectiva-historica/cambiosambientales.pdf",yes,,
66PER012,1640,60,Beta-18735,-75.7,4.81,Reported,,"Mora Gonzalez, L. M. (2006). Analisis multitemporal de las evidencias materiales en la catedral Nuestra Senora de la Pobreza Pereira Risaralda.",yes,,
Meseta A,1990,50,36-GrN-7602,-76.24,1.91,Reported,,"Duque Gomez, L., & Cubillos, J. C. (1979). Arqueologia de San Agustin: Alto de los idolos monticulos y tumbas. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Tequendama,10920,250,GrN 6539,-74.216,4.583,Reported,Charcoal,"Correal Urrego, G., & van der Hammen, T. (1977) Investigaciones arqueologicas en los abrigos del Tequendama. Biblioteca Banco de la Republica.",yes,,
Chia I,3120,210,GrN-10266,-74.01,4.88,Reported,,"Ardila Calderon, G. I. (1984). Chi­a: un sitio preceramico en la Sabana de Bogota.  Banco de la Republica Bogota.",yes,,
Chía II,2090,60,GrN-10267,-74.01,4.89,Reported,,"Ardila Calderon, G. I. (1984). Chi­a: un sitio preceramico en la Sabana de Bogota.  Banco de la Republica Bogota.",yes,,
Zipacón I,3270,30,GrN-11125,-74.35,4.78,Reported,,"Correal Urrego, G. & Pinto Nolla, M. (1983). Investigacion arqueologica en el municipio de Zipacon Cundinamarca. Fundacion de Investivaciones Arqueologicas Nacionales. Banco de la Republica. https://publicaciones.banrepcultural.org/index.php/bmo/article/view/7276",yes,,
Marta,2010,50,GrN-11224,-75.59987811,9.48338536,Reported,Charcoal,"Van Zweden, R. (1994). Geomorfologia de un yacimiento arqueologico: el sitio Marta, Golfo de Morrosquillo, Colombia.",yes,,
Abeja (2.86),1010,110,GX-15749,-72.399927,-0.585613,Reported,,"Herrera, L. F., Cavelier de Ferrero, I., Rodriguez, C., & Mora, S. (1989). Suelos antropogenicos alternativa de produccion amazonica.",yes,,
Abeja (2.86),1415,75,GX-15750,-72.399927,-0.585613,Reported,,"Herrera, L. F., Cavelier de Ferrero, I., Rodriguez, C., & Mora, S. (1989). Suelos antropogenicos alternativa de produccion amazonica.",yes,,
Marta,2080,140,GrN-11302,-75.59987811,9.48338536,Reported,Charcoal,"Van Zweden, R. R. (1994). Geomofología de un yacimiento arqueológico: El sitio Marta. golfo de Morrosquillo, Colombia. Boletin de Antropologia, Universidad de Antioquia, 8(24), 25-42.",yes,,
Marta,1740,50,GrN-11303,-75.59987811,9.48338536,Reported,Shell,"Van Zweden, R. (1994). Geomorfologia de un yacimiento arqueologico: el sitio Marta, Golfo de Morrosquillo, Colombia.",yes,,
Abrigo del Arco I,5320,70,GrA-18724,-72.7410162,0.7435316,Reported,Charcoal,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
Abrigo del Arco I,5560,70,Col-798,-72.7410162,0.7435316,Reported,Fire pit,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
Abrigo del Arco I,5320,70,Col-841,-72.7410162,0.7435316,Reported,Fire pit,"Castaño-Uribe, C., & van der Hammen, T. (2006). Arqueologia de visiones y alucinaciones del cosmos felino y chamanistico de Chiribiquete. Parques Nacionales Naturales de Colombia.",yes,,
El Estorbo I,1055,40,GrN-11304,-76.73,8.14,Reported,,"Botiva Contreras, A. (1980). Investigacion arqueologica y prehistorica de un yacimiento conchal en la costa Atlantica colombiana.",yes,,
La Estrella,980,260,GrN-11887,-73.92,11.09,Reported,Charcoal,"Herrera de Turbay, L. F. (1985). Agricultura aborigen y cambios de vegetacion en la Sierra Nevada de Santa Marta. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Paramo de Pena Negra,8320,80,GrN-12068,-73.817151,5.337419,Reported,Charcoal,"Herrera, L., Bray, W., Cardale, M., & Botero, P. (1992). Nuevas fechas de radiocarbono para el preceramico de la cordillera Occidental de Colombia. En O. Ortiz-Troncoso,  &  T. van der Hammen (Eds.), Archaeology and environment in Latin America (pp. 145-163). Instituut voor Pre- en Protohistorische Acheologie Albert Egges van Giffen, Universiteit van Amsterdam.",yes,,
Chia III,5040,100,GrN-12122,-73.97,5.02,Reported,,"Ardila Calderon, G. I. (1984). Chia: un sitio preceramico en la Sabana de Bogota.  Banco de la Republica Bogota.",yes,,
Aguabonita,630,180,A-18,,,,,"Chaves Mendoza, A., & Puerta Restrepo, M. (1974). Introducción a la arqueología de Aguabonita",yes,,
Agualinda,2030,90,Beta-5100,-76.5,3.83,Reported,Charcoal,"Bray, W., Herrera, L., & Cardale de Schrimpff, M. (1981). Report on the 1981 Field Season in Calima. Pro Calima 3, 2-30.",yes,,
Aguas Claras,280,60,Beta-141054,-75.65,6.16,Reported,Charcoal,"Langebaek, C. H., Espinosa, I. D., & Giraldo, S. (2000). Prospeccion arqueologica del Valle de Aburra y sus ecosistemas estrategiscos: estudios de cambios sociales en una region del occidente de Colombia: informe final.",yes,,
El estorbo II,925,45,GrN-12344,-76.73,8.15,Reported,,"Santos Vecino, G. A. (1982). Segunda campana de investigaciones arqueologicas y prehistoricas en la region del Golfo de Uraba.",yes,,
Marta,2130,90,GrN-12345,-75.59987811,9.48338536,Reported,Charcoal,"Van Zweden, R. (1994). Geomorfologia de un yacimiento arqueologico: el sitio Marta, Golfo de Morrosquillo, Colombia.",yes,,
Lusitania,5150,180,GrN-12835,,,,Charcoal,"Uribe, M. (1990). Cronologia absoluta de la arqueologia colombiana. Revista de Antropologia y Arqueologia, 1 (1), 205-233. Universidad de los Andes.",yes,,
ANYON2N20-30,4140,70,Beta-123564,,,,,Lopez 1999,no,,
Valle de la Plata,7370,110,GrN-12910,-76.11,2.24,Reported,,"Pineros Soler, F. (1988). Paleoecologia de los ultimos 13.700 anos y cambios culturales prehispanicos en la region de Meremberg Valle de la Plata. [Tesis de pregrado no publicada, Universidad de los Andes].",yes,,
Aguazuque 1,3600,40,COL-AAA-Aguazuque,-74.28,4.6,Estimated,,"Triana Vega, A. V., Vélez Bedoya, S., Sedov, S., Solleiro Rebolledo, E., & Díaz, J. (2020). Quantitative analysis of micromorphological images in edaphosedimentary sequences of the archaeological sites of Tequendama and Aguazuque, Sabana de Bogotá, Colombia. Boletín Geológico, (47), 107–122. https://doi.org/10.32685/0120-1425/boletingeo.47.2020.495",yes,,
Albarrada del Alba,420,30,Beta-38390,-74.42,9.24,Reported,,"Romero Picon, Y., & Vivas, A. (2014). Monitoreo y actividades de salvamento arqueologico en las obras de recuperacion del espacio publico plaza Santa Barbara y carrera primera sector Albarrada Sur. Mompox (Bolivar). Programa de Arqueologia Preventiva.",yes,,
Almacafé,590,70,Beta-21777,-76.3,3.9,Reported,Charcoal,"Rodriguez, C. A. (1990). Investigaciones arqueologicas en el cementerio prehispanico de Almacafe Buga departamento del Valle del Cauca. Cespedesia 16-17(57-58), 163-192. https://www.inciva.gov.co/v2/cespedesia?page=2",yes,,
Altiplano de Santa Elena. Cuenca alta. Quebrada piedras blancas,5040,50,Beta-105018,,,,Charcoal,"Botero Paez, S. (1999). Gente antigua, piedras blancas, campos circundados. Vestigios arqueologicos en el altiplano de Santa Elena (Antioquia, Colombia). Boletin de Antropologia, 13(30), 287-305. https://doi.org/10.17533/udea.boan.337542",yes,,
Altiplano de Santa Elena. Cuenca alta. Quebrada piedras blancas,2900,70,Beta-94906,,,,Charcoal,"Botero Paez, S. (1999). Gente antigua, piedras blancas, campos circundados. Vestigios arqueologicos en el altiplano de Santa Elena (Antioquia, Colombia). Boletin de Antropologia, 13(30), 287-305. https://doi.org/10.17533/udea.boan.337542",yes,,
Alto Betania,2310,50,Beta-80751,-76.26,1.92,Reported,,"Llanos Vargas, H. (1995). Monticulo funerario del Alto de Betania (Isnos): territorialidad y espacio de los muertos en la cultura de San Agustin. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Alto de las Piedras,1950,70,Beta-61404,-76.2,2.02,Reported,,"Duque Gomez, L. & Cubillos, J. C. (1993). Arqueologia de San Agustin. Exploraciones arqueologicas realizadas en el Alto de las Piedras (1975-1976). Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica. https://babel.banrepcultural.org/digital/collection/p17054coll5/id/19",yes,,
Alto de las Piedras,2140,80,Beta-61405,-76.2,2.02,Reported,,"Duque Gomez, L. & Cubillos, J. C. (1993). Arqueologia de San Agustin. Exploraciones arqueologicas realizadas en el Alto de las Piedras (1975-1976). Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica. https://babel.banrepcultural.org/digital/collection/p17054coll5/id/19",yes,,
Valle de la Plata,12730,110,GrN-12911,-76.11,2.24,Reported,,"Pineros Soler, F. (1988). Paleoecologia de los ultimos 13.700 anos y cambios culturales prehispanicos en la region de Meremberg Valle de la Plata. [Tesis de pregrado no publicada, Universidad de los Andes].",yes,,
Alto de Lavaderos,5220,70,Beta-104904,-76.33,1.79,Reported,,"Llanos Vargas, H. (1998). Viviendas y tumbas en los Altos de Lavaderos del Valle del rio Granadillos San Agustin (El Rosario). Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Alto de Lavaderos,1470,70,Beta-10490,-76.33,1.79,Reported,,"Llanos Vargas, H. (1998). Viviendas y tumbas en los Altos de Lavaderos del Valle del rio Granadillos San Agustin (El Rosario). Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Alto de Lavaderos,2550,50,Beta-109188,-76.33,1.79,Reported,,"Llanos Vargas, H. (1998). Viviendas y tumbas en los Altos de Lavaderos del Valle del rio Granadillos San Agustin (El Rosario). Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Alto de Lavaderos,1470,70,Beta-104902,-76.33,1.79,Estimated,,"Llanos, H., & Ordonez, H. (1998). Viviendas y tumbas en los Altos de Lavadero del valle del rio Granadillos, San Agustin (El Rosario). Fundcion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Alto de Lavaderos,1450,50,Beta-104903,-76.33,1.79,Estimated,,"Llanos, H., & Ordonez, H. (1998). Viviendas y tumbas en los Altos de Lavadero del valle del rio Granadillos, San Agustin (El Rosario). Fundcion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Apulo,610,80,Beta-67260,,,,Charcoal,,no,,
Alto de Lavapatas,1865,115,IAN-38,-76.3,1.89,Reported,,"Duque Gomez, L., & Cubillos, J. C. (1988) Arqueologia de San Agustin: Alto de Lavapatas. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Alto de Lavapatas,5250,120,IAN-39,-76.3,1.89,Reported,,"Duque Gomez, L., & Cubillos, J. C. (1988). Arqueologia de San Agustin: Alto de Lavapatas. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Boyaca Giralda 2F,1160,50,Beta-87013,,,,,,no,,
Alto de Lavapatas,1020,80,Inc 8428,-76.3,1.89,Reported,,"Duque Gomez, L., & Cubillos, J. C. (1988). Arqueologia de San Agustin: Alto de Lavapatas. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Alto de Lavapatas,800,80,Isotopes,-76.3,1.89,Reported,,"Duque Gomez, L., & Cubillos, J. C. (1988). Arqueologia de San Agustin: Alto de Lavapatas. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
El Palmar,3900,,Beta-4842,-75.15,10.67,Reported,,"Ardila Calderón, G. I. (1983). Arqueología de rescate en la zona norte del proyecto carbonífero del Cerrejon: sitio del Palmar. Carbacol EPAM.",yes,,
Alto de los Idolos,1620,100,I-2316,-76.29,1.91,Reported,Charcoal,"Reichel-Dolmatoff, G. (1975). Contribucion al conocimiento de la estratigrafia ceramica de San Agustin, Colombia. Biblioteca Banco Popular.",yes,,
Alto de los Idolos,1810,100,I-2317,-76.29,1.91,Reported,,"Reichel-Dolmatoff, G. (1975). Contribucion al conocimiento de la estratigrafia ceramica de San Agustin, Colombia. Biblioteca Banco Popular.",yes,,
Alto de los Idolos,1930,120,I-2318,-76.29,1.91,Reported,Charcoal,"Reichel-Dolmatoff, G. (1975). Contribucion al conocimiento de la estratigrafia ceramica de San Agustin, Colombia. Biblioteca Banco Popular.",yes,,
Alto de Mira,550,70,Beta-11555,,,,Charcoal,"Ardila Calderon, G. I. (1984-1985). Contribucion al conocimiento de la arqueologia del Alto Buritaca. Revista Colombiana de Antropologia. 25, 265-284. https://doi.org/10.22380/2539472X.1560 Instituto Colombiano de Antropologia.",yes,,
Alto de Mira,600,60,Beta-11556,,,,Charcoal,"Ardila Calderon, G. I. (1984-1985). Contribucion al conocimiento de la arqueologia del Alto Buritaca. Revista Colombiana de Antropologia. 25, 265-284. https://doi.org/10.22380/2539472X.1560 Instituto Colombiano de Antropologia.",yes,,
Alto de Quinchana,870,110,BA,,,,,"Uribe, M. (1990). Cronologia absoluta de la arqueologia colombiana. Revista de Antropologia y Arqueologia, 1 (1), 205-233. Universidad de los Andes.",yes,,
Alto Junín,1070,100,Beta-10911,-74.89,5.55,Reported,,"Castano Uribe, C. (1985). Secuencias y correlaciones arqueologicas en el rio de la Miel. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Anaime,4480,60,Beta- S.n.,-75.48,4.36,Reported,,"Tovar Esquivel, A. (1981). Investigaciones arqueologicas en el canon de Anaime. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Anambio,560,30,Beta-359219,-76.42124435,2.330103563,Estimated,Charcoal,"Patiño, D., & Monsalve, M. L. (2015). Arqueologia y vulcanismo en la region del Purace, Cauca. Servicio Geologico Colombiano y Editorial Juniversidad del Cauca.",yes,,
Angosturas,1670,40,A-12,-73.87596628,2.293835516,Estimated,,"López, E. (1993). Prospección arqueológica y fisiográfica en la llanura aluvial del río Guayabero (Meta). Monografía. Departamento de antropología, Universidad Nacional de Colombia.",yes,,
Boyaca Rio Negro 1A,1060,70,GX-24264,,,,,,no,,
Colección 17 (Puerto Triunfo),980,50,Beta-101275,-74.64095688,5.873243265,Estimated,Charcoal,"Piazzini, Carlo E. (1998). El programa de arqueología en el contexto de la arqueología colombiana. En Arqueología en Estudios de Impacto Ambiental, volumen 2, 13-28. Interconexión Eléctrica",yes,,
AR10,200,30,Beta-445339,-75.76,2.47,Reported,,"Panche Rodriguez , J. & Rodri­guez, M. L. (2018). Ejecucion del plan de manejo arqueologico (Prospeccion monitoreo o medidas de mitigacion) Fase 2015. Distrito de riesgo de medida escala Tesalia Paicol (Huila y Cauca municipios de Tesalia Paicol Nataga y Paez).",yes,,
AR10,250,30,Beta-445340,-75.76,2.47,Reported,,"Panche Rodriguez , J. & Rodri­guez, M. L. (2018). Ejecucion del plan de manejo arqueologico (Prospeccion monitoreo o medidas de mitigacion) Fase 2015. Distrito de riesgo de medida escala Tesalia Paicol (Huila y Cauca municipios de Tesalia Paicol Nataga y Paez).",yes,,
AR13,770,30,Beta-445336,-75.78,2.46,Reported,,"Panche Rodriguez , J. & Rodri­guez, M. L. (2018). Ejecucion del plan de manejo arqueologico (Prospeccion monitoreo o medidas de mitigacion) Fase 2015. Distrito de riesgo de medida escala Tesalia Paicol (Huila y Cauca municipios de Tesalia Paicol Nataga y Paez).",yes,,
AR14,880,30,Beta-445337,-75.72,2.48,Reported,,"Panche Rodriguez , J. & Rodri­guez, M. L. (2018). Ejecucion del plan de manejo arqueologico (Prospeccion monitoreo o medidas de mitigacion) Fase 2015. Distrito de riesgo de medida escala Tesalia Paicol (Huila y Cauca municipios de Tesalia Paicol Nataga y Paez).",yes,,
AR14,970,30,Beta-445338,-75.72,2.48,Reported,,"Panche Rodriguez , J. & Rodri­guez, M. L. (2018). Ejecucion del plan de manejo arqueologico (Prospeccion monitoreo o medidas de mitigacion) Fase 2015. Distrito de riesgo de medida escala Tesalia Paicol (Huila y Cauca municipios de Tesalia Paicol Nataga y Paez).",yes,,
AR17,320,30,Beta-445351,-75.66,2.44,Reported,,"Panche Rodriguez , J. & Rodri­guez, M. L. (2018). Ejecucion del plan de manejo arqueologico (Prospeccion monitoreo o medidas de mitigacion) Fase 2015. Distrito de riesgo de medida escala Tesalia Paicol (Huila y Cauca municipios de Tesalia Paicol Nataga y Paez).",yes,,
AR3,2070,30,Beta-445330,-75.81,2.48,Reported,,"Panche Rodriguez , J. & Rodri­guez, M. L. (2018). Ejecucion del plan de manejo arqueologico (Prospeccion monitoreo o medidas de mitigacion) Fase 2015. Distrito de riesgo de medida escala Tesalia Paicol (Huila y Cauca municipios de Tesalia Paicol Nataga y Paez).",yes,,
AR3,2070,30,Beta-445332,-75.81,2.48,Reported,,"Panche Rodriguez , J. & Rodri­guez, M. L. (2018). Ejecucion del plan de manejo arqueologico (Prospeccion monitoreo o medidas de mitigacion) Fase 2015. Distrito de riesgo de medida escala Tesalia Paicol (Huila y Cauca municipios de Tesalia Paicol Nataga y Paez).",yes,,
AR3,2070,30,Beta-445333,-75.81,2.48,Reported,,"Panche Rodriguez , J. & Rodri­guez, M. L. (2018). Ejecucion del plan de manejo arqueologico (Prospeccion monitoreo o medidas de mitigacion) Fase 2015. Distrito de riesgo de medida escala Tesalia Paicol (Huila y Cauca municipios de Tesalia Paicol Nataga y Paez).",yes,,
AR3,2040,30,Beta-445334,-75.81,2.48,Reported,,"Panche Rodriguez , J. & Rodri­guez, M. L. (2018). Ejecucion del plan de manejo arqueologico (Prospeccion monitoreo o medidas de mitigacion) Fase 2015. Distrito de riesgo de medida escala Tesalia Paicol (Huila y Cauca municipios de Tesalia Paicol Nataga y Paez).",yes,,
AR3,2090,30,Beta-445335,-75.81,2.48,Reported,,"Panche Rodriguez , J. & Rodri­guez, M. L. (2018). Ejecucion del plan de manejo arqueologico (Prospeccion monitoreo o medidas de mitigacion) Fase 2015. Distrito de riesgo de medida escala Tesalia Paicol (Huila y Cauca municipios de Tesalia Paicol Nataga y Paez).",yes,,
Araracuara 26,1160,50,Beta-6950,-72.4,-0.61,Reported,Charcoal,"Andrade Perez, A. (1983). Estudio arqueolÃ³gico de los antrosoles de Araracuara (Amazonas).  Banco de la RepÃºblica BogotÃ¡.,Araracuara 26,1160.0,50.0,Beta-6950,20240206_COL14_MAIN,-72.4,-0.61,charcoal",yes,,
Araracuara Ara-25,2740,70,Beta-6949,-72.386972,-0.615693,Reported,Sediment,"Andrade, A. (1986). Investigacion de los antrosoles de Araracuara. Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Arboledas La ventura,1270,80,Beta-4221,-76.58,3.64,Reported,,"Gahwiler Walder, T. (1996). Prekolumbische Kulturen im Pavas Gebiet Kolumbien Archeologische Befunde und ethnohistorische Daten. Edition Pro Calima Basel.",yes,,
Arboloco,1690,90,Beta-125263,-72.48,6.16,Reported,,"Perez Riaño, P. F., (1999). Arqueologia en el suroccidente de la Sierra Nevada del Cocuy o Chita (departamento de Boyaca). Banco de la Republica. https://babel.banrepcultural.org/digital/collection/p17054coll5/id/5/rec/7",yes,,
Arboloco,2060,80,Beta-125264,-72.48,6.16,Reported,,"Perez Riaño, P. F., (1999). Arqueologia en el suroccidente de la Sierra Nevada del Cocuy o Chita (departamento de Boyaca). Banco de la Republica. https://babel.banrepcultural.org/digital/collection/p17054coll5/id/5/rec/7",yes,,
Arboloco,1620,40,Beta-129236,-72.48,6.16,Reported,,"Perez Riano, P. F. (1999). Arqueologia en el suroccidente de la Sierra Nevada del Cocuy o Chita (departamento de Boyaca). Fundacion de Investigaciones Arqueologicas Nacionales. Banco de la Republica.",yes,,
Área 1,450,30,Beta-405317,-76.52,3.31,Reported,,"Robayo Suarez, N. L. (2015). Programa de Arqueologia Preventiva Macro Proyecto de Interes Social Nacional Santa fe vereda Cascajal. Corregimiento el Hormiguero municipio de Santiago de Cali, departamento del Valle del Cauca.",yes,,
Área 1,980,30,Beta-405318,-76.52,3.31,Reported,,"Robayo Suarez, N. L. (2015). Programa de Arqueologia Preventiva Macro Proyecto de Interes Social Nacional Santa fe vereda Cascajal. Corregimiento el Hormiguero municipio de Santiago de Cali, departamento del Valle del Cauca.",yes,,
Área 12 - La cumbre,2120,50,Beta-14732,-75.76,6.07,Reported,,"Botero Paez, S. (2002). Entre rocas espacios sagrados. Actividad humana antigua en los organales de Titiribi Antioquia Colombia.  Boletin de Antropologia, 16 (33): 77-99.",yes,,
Arguello Alto,1380,60,Beta-141130,,,,Charred corn gopher,"Cardenas Arroyo, F., & Bernal Velez, A. (2019). Investigaciones arqueológicas en el Valle de Atriz y el canon del rio Guaitara. En A. Bernal Velez & F. Cardenas Arroyo (Eds.), Investigaciones arqueologicas en Narino (Colombia) (pp. 191–274). Instituto Colombiano de Antropologia e Historia.",yes,,
Arrancaplumas,2040,90,Beta-62904,,,,,"Cifuentes Toro, A. (1993). Arrancaplumas y Guataqui­ dos periodos arqueologicos en el valle medio del Magdalena. Boltin de Arqueologia 8 (2): 3-88. https://publicaciones.banrepcultural.org/index.php/fian/article/view/5442/5699",yes,,
Atuncela II,270,50,Beta-96577,-76.67,3.74,Reported,Charcoal,"Alarcon, J. (1995). Rescate arqueológico en el valle Alto del río Dagua. Boletín De Arqueología De La Fian, 10(1), 3–90. Recuperado a partir de https://publicaciones.banrepcultural.org/index.php/fian/article/view/5975",yes,,
Ave Negra,1280,40,Beta-217105,-75.43595,6.395289,Reported,,GAIA. (1999). Desarrollo vial del Aburrá Norte: prospección arqueológica informe. report.,yes,,
Bahia Chengue,845,20,UCI AMS-22824,-74.132284,11.316145,Estimated,Charcoal,"Dever, A. (2007). Social and economic developmentof a specialized coastal comunity at Chengue, the Tairona area Colombia. [Doctoral Dissertation, University of Pittsburgh]. http:// etd.library.pitt.edu/ETD/available/etd-08072007-092050/.",yes,,
Bahia Chengue,1020,15,UCI AMS-22825,-74.132284,11.316145,Estimated,Charcoal,"Dever, A. (2007). Social and economic developmentof a specialized coastal comunity at Chengue, the Tairona area Colombia. [Doctoral Dissertation, University of Pittsburgh]. http:// etd.library.pitt.edu/ETD/available/etd-08072007-092050/.",yes,,
Bahia Chengue,508,25,UCI AMS-22816,-74.132284,11.316145,Estimated,Charcoal,"Dever, A. (2007). Social and economic developmentof a specialized coastal comunity at Chengue, the Tairona area Colombia. [Doctoral Dissertation, University of Pittsburgh]. http:// etd.library.pitt.edu/ETD/available/etd-08072007-092050/.",yes,,
Bahia Chengue,1590,24,UCI AMS-22818,-74.132284,11.316145,Estimated,,"Dever, A. (2007). Social and economic developmentof a specialized coastal comunity at Chengue, the Tairona area Colombia. [Doctoral Dissertation, University of Pittsburgh]. http:// etd.library.pitt.edu/ETD/available/etd-08072007-092050/.",yes,,
Bahia Chengue,640,55,UCI AMS-22817,-74.132284,11.316145,Estimated,,"Dever, A. (2007). Social and economic developmentof a specialized coastal comunity at Chengue, the Tairona area Colombia. [Doctoral Dissertation, University of Pittsburgh]. http:// etd.library.pitt.edu/ETD/available/etd-08072007-092050/.",yes,,
Bahia Chengue,2155,189,UCI AMS-22819,-74.132284,11.316145,Estimated,,"Dever, A. (2007). Social and economic developmentof a specialized coastal comunity at Chengue, the Tairona area Colombia. [Doctoral Dissertation, University of Pittsburgh]. http:// etd.library.pitt.edu/ETD/available/etd-08072007-092050/.",yes,,
Buenavista,2150,50,A-20,,,,,Moreno 1995,no,,
Finca Chapinero,950,,Beta-102817,,,,,"Bernal Ruiz, F. (1997). Monitoreo arqueologico Gasoducto de Occidente. Informe Final. Ecopetrol-Transgas- Disenos e Interventoria Ltda. Tomos I, II, III.",yes,,
Bahia Chengue,370,25,UCI AMS-22822,-74.132284,11.316145,Estimated,,"Dever, A. (2007). Social and economic development of a specialized community in Chengue Parque Tairona Colombia. [Tesis doctoral, University of Pittsburgh]. http://d-scholarship.pitt.edu/id/eprint/8960",yes,,
Bahia de Nahuange,1640,70,OxA-1577,-74.081966,11.314866,Estimated,,"Mason, J. A. (1931). Archaeology of Santa Marta, Colombia. The Tairona Culture. Field Museum  of Natural History, Anthropological Series, Vol. 20 (No. 1), Part I, Report on Field Work. Chicago: Field Museum Press.",yes,,
Barca de Yotoco,850,140,IVIC-598,-76.36,3.86,Reported,Charcoal,"Bray, W., & Moseley, E. (1976). Una secuencia arqueologica en las vecindades de Buga Colombia. Cespedesia 5(17-18): 55-78. https://www.inciva.gov.co/storage/Clientes/INCIVA/Principal/imagenes/contenidos/12998-CESPEDESIA%20Vol%2005%20No%2017-18%20Ene%20-%20Jun%201976-.pdf",yes,,
Barca de Yotoco,1130,100,Ox a3(TL),-76.36,3.86,Reported,,"Uribe, M. (1990). Cronologia absoluta de la arqueologia colombiana. Revista de Antropologia y Arqueologia, 1 (1), 205-233. Universidad de los Andes.",yes,,
