"parameter","median","mean","sd","hpdi_lower","hpdi_upper"
"alpha",-0.0452,-0.0439,0.148,-0.3305,0.247
"r",0.0016,0.0016,0,0.0015,0.0017
"beta_pos",0.1262,0.1265,0.0601,0.0081,0.2433
"beta_neg",-0.8668,-0.8662,0.1454,-1.1458,-0.576
