year_BP,enso_pca
326,-3.087352
327,-2.666366
328,-2.067361
329,-1.195394
329,-0.073647
330,0.569708
331,1.60362
332,2.27127
333,2.494381
333,2.379327
335,1.335375
336,-1.405115
337,-3.414547
338,-4.101777
339,-4.236104
340,-4.317757
341,-3.72966
341.5,-3.37271
342,-3.667364
343,-4.17129
344.5,-4.21447
345,-4.460988
346,-4.153287
347,-3.538648
348,-3.761531
348,-3.70544
349,-3.662764
350,-3.737588
351,-3.312591
352,-2.34111
353,-0.207525
354.5,2.072393
355,1.497999
356,-0.370451
357,-2.365557
358,-1.536548
359.5,1.03042
361,2.117396
361,2.173053
362,0.546391
364,1.063039
364,3.142206
365,2.817623
366,2.115141
366,1.843397
367,1.559521
368,2.488599
369,1.405424
370,2.101396
370,2.693359
371,2.857513
372,2.963589
373,3.283402
374,3.362376
375,3.381156
376,2.981615
377,2.913248
378,2.292295
379,1.33121
380,0.500827
382,-0.235759
382,-1.807061
383,-2.558669
384,-2.712994
385,-0.883306
386,1.692231
387,-0.431282
387,1.028563
388,1.852
389,2.426362
390,2.613882
391,2.917021
391.5,2.944824
393,2.966579
393,3.208448
394,3.20116
394,2.859782
395,2.839579
396,2.580166
398,2.400154
398,1.776428
399,0.315664
400,-1.622565
401,-2.729542
402,-1.189796
402,1.103259
404,2.654679
404,2.619176
405,2.818781
406,2.112061
407,1.493009
408,0.589971
408,1.89009
410,1.29924
411,-0.75364
412,-1.529397
412,-1.436496
413,0.097677
414,2.07097
415,1.665399
416,0.402787
416.5,-0.041462
417,2.387459
418,2.446727
419,0.392361
419,-0.553401
419,1.258246
420.5,1.493347
421.5,0.263967
422.5,-0.279779
424,1.054639
425,0.784684
426,-0.194896
427.5,0.137212
428,0.533671
429,0.931249
430,1.072474
431,1.229212
431.5,1.28238
432,1.650052
433,2.468385
434,2.717788
434,2.703586
435,2.778656
436,2.854888
437,2.155176
438,0.266989
439,1.4555
440,2.446449
441,2.227906
442,1.751055
443,0.727861
444,0.80987
444,-0.442944
446,-1.412972
446,-1.320983
447,-1.218874
448,-0.744473
449,-1.055925
449,-1.040888
450,-0.691118
451,-0.265564
452,-0.639953
453,-0.770738
454,0.769051
455,2.212532
456,2.442993
457.5,2.431386
458,2.051271
459.5,-0.174585
460.5,-0.770446
461,-0.63527
462,-0.948294
463,-0.768529
464,-0.902349
464,-0.880872
465.5,-0.564511
467,0.176334
468,-0.532406
468,0.637227
469,1.078285
470,0.899254
470,1.434926
472,1.362416
472,1.732967
473,1.839158
474,2.207498
474.5,2.228003
475.5,2.086382
476,1.655511
477,1.803659
478,1.673049
479,1.219096
480,-0.149489
481,-0.372242
482,-0.549083
483,-0.507033
483,-0.170723
484,0.349963
485,2.113459
486,2.878993
487,2.09838
487,1.188234
489,-2.489332
489,-1.023995
490,0.411824
491,1.657985
492,1.927636
493,0.902325
494,-0.253943
495,-0.680549
496,-0.697678
497,0.238745
499,-1.092445
500,-2.579275
501,-3.285664
503,-2.575468
504,-1.527718
506,-1.400237
507.5,-1.084154
509,-0.026847
510.5,1.278118
512,2.280481
513,2.185714
514,1.717027
